Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
argentina, Haiti,4.0,1.0,NO,Houseman,18,Home Win,1974-06-23,16:00:00,Olympiastadion,Munich,259000.0,Pablo Sánchez Ibáñez,Spain
argentina, Haiti,4.0,1.0,NO,Ayala,55,Home Win,1974-06-23,16:00:00,Olympiastadion,Munich,259000.0,Pablo Sánchez Ibáñez,Spain
argentina, Haiti,4.0,1.0,NO,Sanon,63,Home Win,1974-06-23,16:00:00,Olympiastadion,Munich,259000.0,Pablo Sánchez Ibáñez,Spain
poland, Italy,2.0,1.0,NO,Szarmach,38,Home Win,1974-06-23,16:00:00,Neckarstadion,Stuttgart,701000.0,Hans-Joachim Weyland,West Germany
poland, Italy,2.0,1.0,NO,Deyna,44,Home Win,1974-06-23,16:00:00,Neckarstadion,Stuttgart,701000.0,Hans-Joachim Weyland,West Germany
poland, Italy,2.0,1.0,NO,Capello,85,Home Win,1974-06-23,16:00:00,Neckarstadion,Stuttgart,701000.0,Hans-Joachim Weyland,West Germany
netherlands, Argentina,4.0,0.0,NO,Cruyff,11,Home Win,1974-06-26,19:30:00,Parkstadion,Gelsenkirchen,565480.0,Bob Davidson,Scotland
netherlands, Argentina,4.0,0.0,NO,Krol,25,Home Win,1974-06-26,19:30:00,Parkstadion,Gelsenkirchen,565480.0,Bob Davidson,Scotland
netherlands, Argentina,4.0,0.0,NO,Rep,73,Home Win,1974-06-26,19:30:00,Parkstadion,Gelsenkirchen,565480.0,Bob Davidson,Scotland
brazil, East Germany,1.0,0.0,NO,Rivellino,60,Home Win,1974-06-26,19:30:00,Niedersachsenstadion,Hanover,598630.0,Clive Thomas,Wales
argentina, Brazil,1.0,2.0,NO,Brindisi,35,Away Win,1974-06-30,16:00:00,Niedersachsenstadion,Hanover,394000.0,Vital Loraux,Belgium
